district,year,murder
BIZAPUR,2011,0
DANTEWARA,2011,0
DHAMTARI,2011,0
"GRP RAIPUR",2011,0
KANKER,2011,0
MAHASAMUND,2011,0
RAIGARH,2011,0
RAIPUR,2011,0
SURAJPUR,2011,0
"NORTH GOA",2011,0
"SOUTH GOA",2011,0
"AHMEDABAD COMMR.",2011,0
AHWA-DANG,2011,0
AMRELI,2011,0
ANAND,2011,0
BHAVNAGAR,2011,0
"CID CRIME",2011,0
DAHOD,2011,0
JAMNAGAR,2011,0
JUNAGADH,2011,0
"KHEDA NORTH",2011,0
"KUTCH (EAST(G))",2011,0
"KUTCH (WEST-BHUJ)",2011,0
MEHSANA,2011,0
NARMADA,2011,0
PANCHMAHAL,2011,0
PATAN,2011,0
PORBANDAR,2011,0
"RAJKOT COMMR.",2011,0
"RAJKOT RURAL",2011,0
SURENDRANAGAR,2011,0
TAPI,2011,0
"VADODARA COMMR.",2011,0
"VADODARA RURAL",2011,0
VALSAD,2011,0
"W.RLY AHMEDABAD",2011,0
"W.RLY VADODARA",2011,0
AMBALA,2011,0
BHIWANI,2011,0
FARIDABAD,2011,0
FATEHABAD,2011,0
GRP,2011,0
GURGAON,2011,0
HISSAR,2011,0
JHAJJAR,2011,0
JIND,2011,0
KAITHAL,2011,0
KARNAL,2011,0
KURUKSHETRA,2011,0
MAHENDRAGARH,2011,0
MEWAT,2011,0
PALWAL,2011,0
PANCHKULA,2011,0
PANIPAT,2011,0
REWARI,2011,0
ROHTAK,2011,0
SIRSA,2011,0
SONIPAT,2011,0
YAMUNANAGAR,2011,0
BADDIPOLICEDIST,2011,0
BILASPUR,2011,0
CHAMBA,2011,0
CID,2011,0
G.R.P.,2011,0
HAMIRPUR,2011,0
KANGRA,2011,0
KINNAUR,2011,0
KULLU,2011,0
LAHAUL-SPITI,2011,0
MANDI,2011,0
SHIMLA,2011,0
SIRMAUR,2011,0
SOLAN,2011,0
UNA,2011,0
ANANTNAG,2011,0
AWANTIPORA,2011,0
BANDIPORA,2011,0
BARAMULLA,2011,0
BUDGAM,2011,0
"CRIME JAMMU",2011,0
"CRIME SRINAGAR",2011,0
DODA,2011,0
